Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Elīna Tetere	12 "Latviešu Nacionālisti"	Rīga	10	1984	Bezdarbnieks/bezdarbniece	
Vita Anda Tērauda	10 Attīstībai/Par!	Rīga	3	1962	Politiskā partija "Kustība Par!"	Izpilddirektore
Aivars Tiesnesis	10 Attīstībai/Par!	Latgale	17	1957	SIA "Jumis A"	Valdes loceklis
Irina Tihanova	3 Rīcības partija	Rīga	12	1962	SIA Ecogaze	projektu vadītāja
Linards Tiļugs	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Kurzeme	5	1961	Lažas speciālā internātpamatskola	Direktors
Kaspars Timma	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	27	1976	SIA "Gimnasium"	Valdes loceklis
Laimons Timma	5 "PROGRESĪVIE"	Vidzeme	19	1941	Rīgas Tehniskā universitāte	Pētnieks
Aivars Timofejevs	7 "LSDSP/KDS/GKL"	Vidzeme	6	1970	Stokholmas Ekonomikas augstskola Rīgā	zinātniskais līdzstrādnieks/projektu vadītājs
Ilona Titarenko	1 "Latvijas Krievu savienība"	Kurzeme	5	1967	SIA "Balmonts Tour"	biļešu kases kasiere
Gatis Tībergs	15 Politiskā partija "KPV LV"	Rīga	27	1981	Sabiedrība ar ierobežotu atbildību "Tele2"	Radio tīkla mērījumu inženieris
Edgars Tjarve	11 Latvijas Reģionu Apvienība	Latgale	15	1970	SIA,,Dagdas komunālā saimniecība"	Valdes loceklis
Valentīna Tkača	1 "Latvijas Krievu savienība"	Zemgale	13	1960	Mājsaimniece	
Aleksandrs Tkačovs	3 Rīcības partija	Rīga	3	1958	Pensionārs/pensionāre	
Anastasija Tkačuka	7 "LSDSP/KDS/GKL"	Latgale	12	1986	SIA “Mainstream”	loģistikas darbinieks
Jekaterīna Tkačuka	1 "Latvijas Krievu savienība"	Rīga	22	1988	Krievu klubs	Valdes locekle
Jeļena Toca	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	8	1959	Garkalnes novada dome	Izpilddirektore
Andris Tolmačovs	1 "Latvijas Krievu savienība"	Vidzeme	1	1973	Eiropas Parlaments	deputāta palīgs
Jurijs Tomass	12 "Latviešu Nacionālisti"	Vidzeme	5	1972	SIA "TOMSONS"	Valdes loceklis
Harijs Tomaševskis	13 Jaunā VIENOTĪBA	Rīga	32	1964	Biedrība "Champagne Club"	Valdes loceklis
Jānis Tomels	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	26	1969	Latvijas Republikas Saeima	Saeimas priekšsēdētājas Ināras Mūrnieces padomnieks sabiedrisko attiecību jautājumos
Druvis Tomsons	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	16	1969	SIA "R un R plus"	Valdes priekšsēdētājs
Anitra Tooma	16 Zaļo un Zemnieku savienība	Rīga	7	1962	Biedrība “Vides Vārds”	Valdes locekle
Māris Tralmaks	16 Zaļo un Zemnieku savienība	Rīga	22	1949	Siimonite Suguvosa Selts (Simonu ģimenes biedrība Igaunijā)	Valdes loceklis
Māris Trankalis	11 Latvijas Reģionu Apvienība	Vidzeme	8	1959	AS “Brīvais Vilnis”	izpilddriektors
Toms Trasūns	5 "PROGRESĪVIE"	Latgale	3	1989	Pašnodarbinātais	
Edgars Treibergs	16 Zaļo un Zemnieku savienība	Vidzeme	12	1955	Garkalnes novada dome	Deputāts
Elvijs Treifelds	8 No sirds Latvijai	Kurzeme	11	1994	SIA " Tfelds Consulting"	Vlades priekšsēdētājs
Elīna Treija	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	9	1977	Vides aizsardzības un reģionālās attīstības ministrija	Projekta koordinatore
Jānis Trencis	14 Par Alternatīvu	Vidzeme	5	1947	Pensionārs/pensionāre	
Zenta Tretjaka	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	3	1960	Latvijas Republikas Saeima	12. Saeimas deputāte
Aldis Tripans	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	13	1982	SIA "Api Agro"	Komercdarbības specialists
Guntis Trupavnieks	10 Attīstībai/Par!	Latgale	8	1975	UAB "Agrolitpa"	Projektu menedžeris - agronoms
Jānis Trupovnieks	16 Zaļo un Zemnieku savienība	Latgale	2	1961	LR Saeima	Deputāts
Vitalijs Trusevičs	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	9	1970	SIA "Bochkor"	Valdes loceklis
Aigars Trušelis	15 Politiskā partija "KPV LV"	Latgale	7	1990	Z/s Apskalnes	Īpašnieks
Aija Tula-Rijkure	12 "Latviešu Nacionālisti"	Rīga	5	1958	Diplomātiskā Servisa Medicīnas Centrs	Ārste
Ruslans Tumanovs	3 Rīcības partija	Vidzeme	17	1988	Latvijas dzelzceļš	Montētājs
Indulis Tupesis	2 Jaunā konservatīvā partija	Rīga	38	1951	Pensionārs/pensionāre	
Ilona Turkovska	5 "PROGRESĪVIE"	Rīga	9	1989	Rīgas Kultūras un atpūtas centrs "Imanta"	Projektu vadītāja
Jānis Tutins	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	5	1966	Latvijas Republikas Saeima	12. Saeimas deputāts
Leons Tutiņš	5 "PROGRESĪVIE"	Latgale	9	1964	SIA SSSB	Valdes loceklis
Vilis Ukstiņš	6 "Latvijas centriskā partija"	Kurzeme	2	1968	SIA "EKSERT"	tirdzniecības menedžeris
Liāna Ulmane	8 No sirds Latvijai	Rīga	6	1976	AS “Rīgas Siltums”	Līgumu daļas klientu konsultante
Ģirts Ulmanis	8 No sirds Latvijai	Rīga	16	1971	SIA “Rīgas Ūdens”	šoferis
Arvīds Ulme	16 Zaļo un Zemnieku savienība	Rīga	11	1947	Vides aizsardzības klubs	Prezidents
Diāna Ulme	16 Zaļo un Zemnieku savienība	Rīga	34	1964	"Vides aizsardzības klubs Mežaparks"	Vadītāja
Konstantīns Uļbiks	15 Politiskā partija "KPV LV"	Rīga	15	1982	Pirmais baltijas kanāls SIA	Video inženieris
Jānis Upenieks	13 Jaunā VIENOTĪBA	Vidzeme	2	1988	Latvijas Republikas Saeima	Deputāts
Ligita Upīte	16 Zaļo un Zemnieku savienība	Zemgale	17	1962	Jēkabpils NVO resursu centrs	Valdes loceklis, projektu koordinators
Jānis Urbanovičs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	2	1959	Latvijas Republikas Saeima 	12. Saeimas deputāts
Jānis Urbāns	15 Politiskā partija "KPV LV"	Latgale	15	1981	Pašnodarbinātais	Jurists, IT konsultants
Dmitrijs Usins	11 Latvijas Reģionu Apvienība	Vidzeme	20	1980	Ogres tehnikums	profesionālās izglītības skolotājs
Ludmila Ušakova	1 "Latvijas Krievu savienība"	Zemgale	1	1959	Aizkraukles novada dome	deputāte
Artūrs Uškāns	11 Latvijas Reģionu Apvienība	Rīga	20	1966	“IK Latgolys zvaigzne”	Vadītājs
Airīte Agnija Uzkliņģe	12 "Latviešu Nacionālisti"	Zemgale	12	1951	Pensionārs/pensionāre	
Jānis Uzulēns	11 Latvijas Reģionu Apvienība	Vidzeme	15	1979	Jurisconsultus SIA	valdes loceklis
Reinis Uzulnieks	16 Zaļo un Zemnieku savienība	Kurzeme	10	1986	Latvijas Republikas satiksmes ministrija	Ministra padomnieks
Indra Ūdra	10 Attīstībai/Par!	Kurzeme	3	1955	Saldus novada dome	Deputāte
Arita Ūdre	2 Jaunā konservatīvā partija	Rīga	19	1985	Iepirkumu uzraudzības birojs	Administratīvo sodu departamenta direktore
Renārs Vabals	13 Jaunā VIENOTĪBA	Latgale	16	1984	SIA "Strūžānu Siltums"	Valdes loceklis
Arturs Vabaļs	3 Rīcības partija	Latgale	13	1992	SIA "Guard Services"	Apsargs
Normunds Vagalis	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	14	1963	Rīgas domes Mājokļu un vides departamenta Apsaimniekošanas nodaļa	Pārvaldīšanas uzraudzības nodaļas galvenais speciālists - eksperts
Andris Vaišļa	16 Zaļo un Zemnieku savienība	Zemgale	12	1974	SIA Jelgavas tirgus	Direktors
Silvestrs Vaitkevičs	6 "Latvijas centriskā partija"	Vidzeme	6	1996	Rīgas namu parvaldnieks	strādnieks
Guntars Vaivars	2 Jaunā konservatīvā partija	Rīga	17	1960	Latvijas Universitāte	Asociētais profesors, vadošā pētnieka v.i.
Viktors Valainis	16 Zaļo un Zemnieku savienība	Zemgale	7	1986	LR Saeima	Deputāts
Gints Valdmanis	10 Attīstībai/Par!	Kurzeme	9	1989	Saldus vidusskola	Informātikas un programmēšanas skolotājs
Inta Valeiņa	8 No sirds Latvijai	Zemgale	7	1963	SIA " Milinta"	Valdes priekšsēdētāja
Jānis Valtervitenheims	8 No sirds Latvijai	Latgale	1	1960	Biedrība "Latviešu katoļu studentu un akadēmiķu apvienība " Dzintars""	Prezidents
Igors Vaļikovs	3 Rīcības partija	Kurzeme	4	1970	Pensionārs/pensionāre	
Daina Vanaga	2 Jaunā konservatīvā partija	Vidzeme	21	1963	Ieslodzījuma vietu pārvalde	ESF projekta "Resocializācijas sistēmas efektivitātes paaugstināšana" Nr.9.1.3.0/16/I/001 Mācību sistēmas pilnveidošanas bloka vadītāja
Gunita Vanaga	5 "PROGRESĪVIE"	Latgale	2	1990	Daugavpils pilsētas dome	Jaunatnes nodaļas vadītāja
Ilze Vanaga	2 Jaunā konservatīvā partija	Zemgale	17	1978	Valsts probācijas dienests	Jūrmalas TSV probācijas speciāliste
Andrejs Vanags	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	15	1986	SIA "Preiļu Siltums"	koģenerācijas stacijas vadītājs
Jānis Vanags	5 "PROGRESĪVIE"	Vidzeme	14	1989	Ālesundas apgabala starpkopienu vides uzņēmums IKS (Ålesundregionen Interkommunale Milijøselskap IKS)	Vides sakopšanas darbinieks
Kaspars Vanags	5 "PROGRESĪVIE"	Rīga	10	1970	Kultūrteorētiķis	
Kārlis Vanags	5 "PROGRESĪVIE"	Vidzeme	16	1993	Students/studente	
Egons Vanuška	12 "Latviešu Nacionālisti"	Kurzeme	8	1951	Zemnieku samniecība "Veldze"	Vadītājs
Valts Variks	11 Latvijas Reģionu Apvienība	Vidzeme	5	1974	Ķekavas novada pašvaldība	Domes priekšsēdētāja otrais vietnieks
Irina Vasermane	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	13	1970	SIA "Liepājas Būve"	Valdes locekle
Anastasija Vasiļjeva	3 Rīcības partija	Vidzeme	14	1997	Euro Live Technologies	Tiešraide zāles operātors
Aleksandrs Vasiļjevs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	27	1957	Latvijas Republikas Saeima	12. Saeimas deputāta palīgs
Aleksejs Vasiļjevs	1 "Latvijas Krievu savienība"	Latgale	3	1971	Daugavpils 15.vidusskola	skolotājs
Andrejs Vasiļjevs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	21	1975	Pašnodarbinātā persona	
Jurijs Vasiļjevs	3 Rīcības partija	Vidzeme	1	1974	SIA "Rīgas cīņu sporta skola"	Valdes loceklis
Viktors Vasiļjevs	3 Rīcības partija	Kurzeme	2	1939	Pensionārs/pensionāre	
Gundars Važa	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	6	1966	Engures novada dome	Domes priekšsēdētājs
Toms Vāvere	13 Jaunā VIENOTĪBA	Vidzeme	22	1992	SIA Brain Games	Vairumtirdzniecības speciālists
Juris Vectirāns	16 Zaļo un Zemnieku savienība	Zemgale	4	1953	LR Saeima	Deputāts
Solveiga Vecziediņa	12 "Latviešu Nacionālisti"	Latgale	7	1950	Pensionārs/pensionāre	
Bruno Veide	16 Zaļo un Zemnieku savienība	Vidzeme	19	1961	Saulkrastu novada dome	Priekšsēdētāja vietnieks
Sarmīte Veide	11 Latvijas Reģionu Apvienība	Rīga	2	1956	Veide Sarmīte - ģimenes ārsta prakse	ģimenes ārste un prakses vadītāja
Kristaps Veikšāns	15 Politiskā partija "KPV LV"	Vidzeme	25	1982	SIA "LSK Studios"	Direktors
Olga Veilande	10 Attīstībai/Par!	Vidzeme	18	1964	Vācijas, Itālijas un Latvijas nacionālo akreditācijas institūciju konsorcijs	Vecākā eksperte Twinning projektā Azerbaidžānas nacionālajai akreditācijas institūcijai
Aivars Veiss	11 Latvijas Reģionu Apvienība	Vidzeme	12	1959	Uzņēmējs	
Dace Vekmane	5 "PROGRESĪVIE"	Zemgale	9	1987	Bērnu kopšanas atvaļinājums	
Jānis Vekmans	5 "PROGRESĪVIE"	Zemgale	8	1984	sia "Zemgales Projekts"	Tehniskais direktors
Ivars Veliks	8 No sirds Latvijai	Latgale	7	1953	ZS "Bezdelīgas"	Īpašnieks
Oļegs Veresovs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	26	1982	Bezdarbnieks/bezdarbniece	
Jānis Verners	11 Latvijas Reģionu Apvienība	Rīga	32	1988	SIA Tormanis un Partneri	valdes loceklis
Daina Verveiko	8 No sirds Latvijai	Rīga	8	1958	SIA “Compensa services “	Reģionālā centra vadītāja
Vjačeslavs Veselovs	1 "Latvijas Krievu savienība"	Vidzeme	11	1973	Saimnieciskās darbības veicējs	pašnodarbinātā persona
Artūrs Vējš	15 Politiskā partija "KPV LV"	Rīga	8	1978	Sabiedrība ar ierobežotu atbildību "CERTEX LATVIJA"	Ražošanas vadītājs
Arnis Vērzemnieks	16 Zaļo un Zemnieku savienība	Rīga	18	1977	Golin Riga	Valdes priekšsēdētājs
Mārtiņš Vidruskis	7 "LSDSP/KDS/GKL"	Rīga	20	1992	SIA Moller Auto	jaunu automašīnu pārdevējs
Aldis Vidužs	8 No sirds Latvijai	Zemgale	11	1963	Pašnodarbināts	
Andris Vidužs	8 No sirds Latvijai	Rīga	18	1989	Rīgas Tehniskā Universitāte	Datortehnikas inženieris
Edgars Vieglais	8 No sirds Latvijai	Rīga	23	1975	SIA "Strēlnieku 8"	Būvprojektu vadītājs
Ruta Viesture	12 "Latviešu Nacionālisti"	Zemgale	8	1950	SIA "Jelgavas poliklīnika	Ārste - ķirurģe
Ginta Vilcāne	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	12	1986	Nacionālā apvienība „Visu Latvijai!” – „Tēvzemei un Brīvībai/LNNK”	Jaunatnes organizācijas vadītāja
Edīte Vilciņa	8 No sirds Latvijai	Vidzeme	14	1957	SIA "Audita asistents"	Grāmatvede
Ainārs Vilciņš	15 Politiskā partija "KPV LV"	Vidzeme	4	1966	SIA "YOURTIME"	Valdes loceklis, īpašnieks
Toms Vilciņš	15 Politiskā partija "KPV LV"	Vidzeme	16	1992	SIA "ERVITEX"	Iespieddarbu maketētājs
Valerijs Vilčinskis	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	9	1947	Pensionārs/pensionāre	
Ainārs Vilmanis	15 Politiskā partija "KPV LV"	Rīga	32	1967	Akciju sabiedrība "Pasažieru vilciens"	Vilciena vadītājs
Jānis Viļums	10 Attīstībai/Par!	Latgale	6	1983	SIA "Mass Portal"	Struktūrvienības vadītājs
Juris Viļums	11 Latvijas Reģionu Apvienība	Latgale	1	1982	Latvijas Republikas Saeima	deputāts
Ilze Viņķele	10 Attīstībai/Par!	Zemgale	1	1971	Politiskā partija "Kustība Par!"	Valdes locekle
Juris Viņķelis	10 Attīstībai/Par!	Latgale	3	1952	Latvijas ārstu biedrība	Ģenerālsekretārs
Ligita Vircava	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	18	1949	Pensionārs/pensionāre	
Ilona Virza-Zariņa	16 Zaļo un Zemnieku savienība	Zemgale	13	1976	SIA ORUS	Valdes priekšsēdētāja
Jānis Vitenbergs	15 Politiskā partija "KPV LV"	Zemgale	7	1985	Sabiedrība ar ierobežotu atbildību "LIETAS MD"	Lielo klientu pārdošanas vadītājs
Jānis Vitkovskis	12 "Latviešu Nacionālisti"	Rīga	25	1938	Pensionārs/pensionāre	
Vilnis Vitkovskis	16 Zaļo un Zemnieku savienība	Kurzeme	9	1974	Valsts akciju sabiedrība “Latvijas autoceļu uzturētājs”	Valdes loceklis
Dzintra Vizbule	15 Politiskā partija "KPV LV"	Rīga	35	1967	Amber Staff Ltd	operatīvais darbinieks
Roberts Vībāns	15 Politiskā partija "KPV LV"	Zemgale	14	1992	AS "Latvenergo"	Informācijas sistēmu inženieris
Inese Vīča	7 "LSDSP/KDS/GKL"	Latgale	8	1997	Students/studente	
Jānis Vīksna	15 Politiskā partija "KPV LV"	Vidzeme	15	1962	Bezdarbnieks	
Antra Vīnerte	12 "Latviešu Nacionālisti"	Rīga	4	1985	Rīgas pilsētas sākumskola	Skolotāja
Dzintars Vīņauds	12 "Latviešu Nacionālisti"	Vidzeme	14	1962	Valsts SIA "Sertifikācijas un testēšanas centrs"	Atbilstības novērtēšanas nodaļas bioloģiskās lauksaimniecības sektora vadītājs, vecākais eksperts
Normunds Vīrs	14 Par Alternatīvu	Rīga	9	1963	pašnodarbināts	podnieks
Anda Vītola	5 "PROGRESĪVIE"	Rīga	7	1965	SIA "VIA Baltic"	Valdes locekle
Santa Vītola	2 Jaunā konservatīvā partija	Vidzeme	28	1987	"BBH Investments" SIA	Struktūrvienības vadītājas vietniece
Aigars Vītols	16 Zaļo un Zemnieku savienība	Vidzeme	20	1976	Ķekavas novada dome	Domes priekšsēdētāja 1. vietnieks, deputāts
Armands Vītols	10 Attīstībai/Par!	Zemgale	11	1960	Bezdarbnieks/bezdarbniece	
Renārs Vītols	16 Zaļo un Zemnieku savienība	Rīga	17	1988	SIA Temeso	Valdes loceklis
Juris Guntis Vjakse	16 Zaļo un Zemnieku savienība	Latgale	17	1967	Biedrība „Latvijas Darba devēju konfederācija”	Latgales reģionālais pārstāvis
Irina Vlasenko	3 Rīcības partija	Vidzeme	7	1971	SIA "INTRA GT"	projektētāja
Otto Vočtavs	11 Latvijas Reģionu Apvienība	Kurzeme	11	1993	Pašnodarbināta persona	
Inese Voika	10 Attīstībai/Par!	Rīga	7	1970	ANO Attīstības programma Ukrainā	Padomniece pretkorupcijas jautājumos
Jānis Voins	16 Zaļo un Zemnieku savienība	Rīga	36	1982	Basketbola klubs Jūrmala	Ģenerālmenedžeris
Aija Vojecka	8 No sirds Latvijai	Rīga	33	1964	SIA "Corvus Company"	Grāmatvede
Judīte Volkova	15 Politiskā partija "KPV LV"	Rīga	23	1962	Sabiedrība ar ierobežotu atbildību "JUVO PLUS"	Valdes locekle
Kristīne Volkoviča	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	17	1980	Vides aizsardzības un reģionālās attīstības ministrija	Ministra palīdze
Oļegs Volkovs	7 "LSDSP/KDS/GKL"	Latgale	11	1996	IK «Matiss un Co»	kurjers
Renārs Volkovs	2 Jaunā konservatīvā partija	Zemgale	5	1978	"Pansija Next Door" SIA	Valdes loceklis
Sergejs Volkovs	1 "Latvijas Krievu savienība"	Zemgale	3	1967	SIA „Matreks”	šoferis
Toms Vorkalis	11 Latvijas Reģionu Apvienība	Latgale	6	1987	Kārsavas novada pašvaldība	Izpilddirektors
Vladimirs Vorohobovs	8 No sirds Latvijai	Rīga	25	1959	Bezdarbnieks/bezdarbniece	
Īrisa Voroņina	6 "Latvijas centriskā partija"	Vidzeme	2	1965	Valsts zemes dienests	vecākais konsultānts
Edgars Vorslovs	16 Zaļo un Zemnieku savienība	Rīga	29	1966	Biedrība “Latvijas Nedzirdīgo savienība”	Valsts deleģēto sociālo pakalpojumu nodaļas vadītājs
Jānis Vucāns	16 Zaļo un Zemnieku savienība	Kurzeme	5	1956	Politiskā partija "Latvijai un Ventspilij"	Valdes loceklis
Juris Vucāns	3 Rīcības partija	Rīga	19	1963	Restorans 'Stargorod"	Dežurants
Juris Vucāns	11 Latvijas Reģionu Apvienība	Latgale	2	1986	Preiļu novada dome	deputāts
Oļegs Zabirko	11 Latvijas Reģionu Apvienība	Vidzeme	27	1982	SIA “HARDWOOD INDUSTRY”	Izpilddirektors
Nikolajs Zaharovs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	26	1946	Sabiedrība ar ierobežotu atbildību "LEGON"	Valdes loceklis
Jānis Zakarīts	15 Politiskā partija "KPV LV"	Latgale	11	1973	Balvu Valsts ģimnāzija	skolotājs
Atis Zakatistovs	15 Politiskā partija "KPV LV"	Kurzeme	1	1968	Latvijas Republikas Saeima	Saeimas deputāta palīgs
Valdis Zaķis	11 Latvijas Reģionu Apvienība	Vidzeme	21	1952	Vidzemes Augstskola	Docents
Dāvids Zalāns	5 "PROGRESĪVIE"	Vidzeme	10	1988	LR Kultūras ministrija	Vecākais referents
Agnese Zaļakmentiņa	15 Politiskā partija "KPV LV"	Rīga	30	1976	SIA "RIMI LATVIA"	Servisa vadītāja
Gatis Zamurs	10 Attīstībai/Par!	Rīga	6	1983	Latvijas Koka būvniecības klasteris	Izpilddirektors
Jānis Zandbergs	16 Zaļo un Zemnieku savienība	Zemgale	6	1981	Biedrība “Latvijas medniekus savienība”	Valdes loceklis
Ivars Zariņš	9 "Saskaņa" sociāldemokrātiskā partija	Zemgale	1	1969	Latvijas Republikas Saeima	12. Saeimas deputāts
Jānis Zariņš	13 Jaunā VIENOTĪBA	Vidzeme	27	1996	Students/studente	
Toms Zariņš	5 "PROGRESĪVIE"	Vidzeme	21	1991	Frīdriha Eberta fonds	Projektu vadītājs
Uldis Zariņš	8 No sirds Latvijai	Kurzeme	13	1975	SIA "Skrundas komunālā saimniecība"	Nekustamo īpašumu pārvaldnieks
Viesturs Zariņš	13 Jaunā VIENOTĪBA	Vidzeme	24	1979	Valkas novada dome	Priekšsēdētāja vietnieks
Viktors Zariņš	7 "LSDSP/KDS/GKL"	Vidzeme	13	1960	Latvijas Sociāldemokrātiskā Strādnieku partija	revīzijas komisijas loceklis
Evita Zālīte-Grosa	2 Jaunā konservatīvā partija	Vidzeme	3	1969	Rīgas dome	Deputāte
Ivars Zālītis	9 "Saskaņa" sociāldemokrātiskā partija	Latgale	3	1965	Daugavpils Universitātes doktorants	
Andžejs Zdanovičs	6 "Latvijas centriskā partija"	Rīga	1	1976	SIA "MOŽUMS PRO"	uzraugs
Marika Zeimule	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Latgale	5	1979	Kultūras ministrija	Parlamentārā sekretāre
Ieva Zeltīte	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	24	1977	SIA “Veselības centrs 4”	Fizioterapeite
Raivis Zeltīts	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Vidzeme	4	1992	Mārupes novada dome	Deputāts
Evija Zemele	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	12	1972	Īpašnieku biedrība "Jūraskrasts 1"	Valdes priekšsēdētāja
Gints Zemitāns	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Rīga	23	1963	Valsts Vides dienests	Vecākais inspektors
Mihails Zemļinskis	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	18	1969	Latvijas Republikas Saeima	12. Saeimas deputāts
Didzis Zemmers	16 Zaļo un Zemnieku savienība	Vidzeme	22	1969	Limbažu novada pašvaldība	Domes priekšsēdētājs
Ināra Zepa	11 Latvijas Reģionu Apvienība	Rīga	36	1963	Rīgas psihiatrijas un narkoloģijas centrs, Valsts SIA	garīgās veselības aprūpes speciāliste
Egīls Zeps	10 Attīstībai/Par!	Zemgale	16	1990	SIA "ZIP-PRO"	Valdes loceklis
Normunds Zerafims	3 Rīcības partija	Rīga	15	1969	Latvijas Universitāte	Ugunsdrošibas speciālists
Līga Ziediņa	11 Latvijas Reģionu Apvienība	Rīga	19	1984	Eiropas Savienības Tiesa	Ārštata tulks
Iveta Ziemele	15 Politiskā partija "KPV LV"	Zemgale	6	1987	Lapmežciema pagasta pārvalde	Dienas centra vadītāja
Jeļena Ziemele	3 Rīcības partija	Rīga	8	1970	SIA "Buhmaster"	Valdes locekle
Ilze Zilgalve	2 Jaunā konservatīvā partija	Rīga	20	1970	Latviešu biedrība Beļģijā	Valdes locekle
Jana Zilkalne	2 Jaunā konservatīvā partija	Vidzeme	25	1979	"IZGLĪTĪBAS UN KULTŪRAS MANTOJUMA ZELTA VĀRTI" SIA	Valdes priekšsēdētāja
Ēriks Ziņģis	7 "LSDSP/KDS/GKL"	Rīga	13	1962	Latvijas Jūras akadēmija	docents
Jānis Zīle	12 "Latviešu Nacionālisti"	Vidzeme	11	1944	Pensionārs/pensionāre	
Rita Zīle	12 "Latviešu Nacionālisti"	Vidzeme	7	1973	SIA "Siguldas Slimnīca"	Saimniecības daļas vadītāja
Arturs Zīlītis	15 Politiskā partija "KPV LV"	Kurzeme	5	1967	Priekules daudzfunkcionālā sporta halle	Saimniecības vadītājs
Jānis Zīvers	16 Zaļo un Zemnieku savienība	Rīga	37	1969	SIA”Zīvermuiža”	Valdes loceklis
Lauris Zīverts	15 Politiskā partija "KPV LV"	Zemgale	4	1981	Jelgavas pilsētas dome	Deputāts
Reinis Znotiņš	2 Jaunā konservatīvā partija	Rīga	5	1992	"Your Move" SIA	Rīkotājdirektors
Dainars Zolmanis	2 Jaunā konservatīvā partija	Kurzeme	14	1981	Saldus Cieceres internātpamatskola	Sporta skolotājs, fizioterapeits
Gatis Zonenbergs	13 Jaunā VIENOTĪBA	Kurzeme	7	1975	Liepājas rajona Kazdangas pagasta zemnieku saimniecība ""Jaunkalni"	zs īpašnieks
Konstantīns Zorins	2 Jaunā konservatīvā partija	Rīga	37	1985	"ZILBER" SIA	Valdes loceklis
Andrejs Zujevs	1 "Latvijas Krievu savienība"	Zemgale	15	1966	Saimnieciskās darbības veicējs	pašnodarbinātā persona
Igors Zujevs	9 "Saskaņa" sociāldemokrātiskā partija	Rīga	22	1963	Latvijas Republikas Saeima	12. Saeimas deputāts
Jānis Zumbergs	8 No sirds Latvijai	Vidzeme	9	1983	Priekuļu agroresursu un ekonomikas institūts	Kaltēšanas iekārtu speciālists
Sanita Zunda	11 Latvijas Reģionu Apvienība	Latgale	11	1991	Dricānu pagasta pārvalde	Izglītības-uzņēmējdarbības kontaktpunkta komercdarbības speciāliste
Rūdolfs Zvaigzne	14 Par Alternatīvu	Vidzeme	4	1994	Students/studente	
Agris Zvaigzneskalns	16 Zaļo un Zemnieku savienība	Zemgale	8	1983	Tukuma novada Dome	Deputāts
Mārtiņš Zvejnieks	5 "PROGRESĪVIE"	Rīga	12	1990	SIA “ROBOCASH”	Portfeļa vadītājs
Inga Zviedre-Udalova	5 "PROGRESĪVIE"	Rīga	19	1976	Ieslodzījuma vietu pārvalde	Vecākā inspektore
Gints Zvirbulis	15 Politiskā partija "KPV LV"	Kurzeme	10	1983	SIA "Abavas brīvdienas"	Valdes priekšsēdētājs
Lāsma Žagota	2 Jaunā konservatīvā partija	Vidzeme	14	1972	Kocēnu novada Jura Neikena Dikļu pamatskola	Direktore
Ļubova Ždanova	1 "Latvijas Krievu savienība"	Rīga	12	1990	SIA XO.fm Production	Biroja administratore
Andulis Židkovs	10 Attīstībai/Par!	Zemgale	3	1969	Ozolnieku novada pašvaldība	Izpilddirektors
Māris Žigats	11 Latvijas Reģionu Apvienība	Kurzeme	5	1971	Valkas pilsētas kultūras nams	direktors
